sep=;
from;to;distance;time
Andros Clinics Rijswijk;EQV - Xpert Clinic Proctologie Velp;119.673436;81.49773333333333
Andros Clinics Rijswijk;EQZ - Xpert Clinic Oogzorg Zeist;73.11543499999999;49.48635
Andros Clinics Rijswijk;EQZW - Xpert Clinic Hand Zwolle;154.364667;104.02586666666666
Andros Clinics Rijswijk;Esser Clinics;26.991418000000003;18.959866666666667
Andros Clinics Rijswijk;Flex Clinics;58.17134;43.5791
Andros Clinics Rijswijk;Haaglanden Clinics;7.346042000000001;9.73885
Andros Clinics Rijswijk;Kazem;41.598258;29.61055
Andros Clinics Rijswijk;KNO de Jong;54.755878;40.35683333333333
Andros Clinics Rijswijk;Medcentric MWCZ;100.789756;80.6956
Andros Clinics Rijswijk;Medtronic;123.377292;96.93251666666669
Andros Clinics Rijswijk;Orthoparc Rozendaal;119.673436;81.49773333333333
Andros Clinics Rijswijk;Pro-Motion;34.051169;28.697333333333333
Andros Clinics Rijswijk;Retina eye care;70.78609;49.44801666666667
Annadal kliniek;De Meern;169.65031;135.23065
Annadal kliniek;Andros Clinics Rijswijk;212.907175;156.67374999999998
Annadal kliniek;Annadal kliniek Poli;0.0;0.0
Annadal kliniek;Annatommie Amstelveen;200.365167;153.57716666666664
Annadal kliniek;Annatommie Utrecht;168.257536;132.87335
Annadal kliniek;Arthrex;167.817357;132.48088333333334
Annadal kliniek;Cosmed Bosch en Duin OK;178.029387;138.98846666666668
Annadal kliniek;Cosmed Bosch en Duin Poli;178.029387;138.98846666666668
Annadal kliniek;Denticien;213.767592;157.84393333333335
Annadal kliniek;Dermaclinic Utrecht;171.82781599999998;135.8667
Annadal kliniek;Doctors at soap;171.653908;137.22923333333335
Annadal kliniek;EQA - Velthuis Kliniek Amsterdam;196.538434;150.08016666666666
Annadal kliniek;EQA - Xpert Clinic Hand Amsterdam;196.538434;150.08016666666666
Annadal kliniek;EQA - Xpert Clinic Proctologie Amsterdam;196.538434;150.08016666666666
Annadal kliniek;EQA - Xpert Orthopedie Amsterdam;196.538434;150.08016666666666
Annadal kliniek;EQEI - Velthuis Kliniek Eindhoven;91.600367;67.49663333333334
Annadal kliniek;EQEI - Xpert Clinic Hand Eindhoven;91.600367;67.49663333333334
Annadal kliniek;EQEI - Xpert Clinic Proctologie Eindhoven;91.600367;67.49663333333334
Annadal kliniek;EQEI - Xpert Orthopedie Eindhoven;91.600367;67.49663333333334
Annadal kliniek;EQEI - Xpert Orthopedie Schijndel;112.453057;83.71589999999999
Annadal kliniek;EQEN - Velthuis Kliniek Enschede;235.670645;187.8768
Annadal kliniek;EQEN - Xpert Clinic Hand Enschede;235.670645;187.8768
Annadal kliniek;EQEN - Xpert Clinic Proctologie Enschede;235.670645;187.8768
Annadal kliniek;EQR - Velthuis Kliniek Rotterdam;191.015922;137.03333333333333
Annadal kliniek;EQR - Xpert Clinic Hand Rotterdam;191.015922;137.03333333333333
Annadal kliniek;EQR - Xpert Clinic Proctologie Rotterdam;191.015922;137.03333333333333
Annadal kliniek;EQR - Xpert Orthopedie Rotterdam;191.015922;137.03333333333333
Annadal kliniek;EQRZD - Hand pols Rozendaal;159.465086;122.64121666666666
Annadal kliniek;EQRZD - Orthopedie Rozendaal;159.465086;122.64121666666666
Annadal kliniek;Equip Amsterdam;196.538434;150.08016666666666
Annadal kliniek;Equipe Enschede;196.538434;150.08016666666666
Annadal kliniek;EQV - Velthuis Kliniek Velp;159.465086;122.64121666666666
Annadal kliniek;EQV - Xpert Clinic Hand Velp;158.22372399999998;120.95941666666666
Annadal kliniek;EQV - Xpert Clinic Proctologie Velp;159.465086;122.64121666666666
Annadal kliniek;EQZ - Xpert Clinic Oogzorg Zeist;177.287035;137.1198
Annadal kliniek;EQZW - Xpert Clinic Hand Zwolle;224.014992;165.33858333333333
Annadal kliniek;Esser Clinics;197.024401;150.69328333333334
Annadal kliniek;Flex Clinics;171.68792000000002;135.23286666666667
Annadal kliniek;Haaglanden Clinics;219.740831;164.60658333333333
Annadal kliniek;Kazem;205.659871;167.61758333333333
Annadal kliniek;KNO de Jong;176.532853;138.0437
Annadal kliniek;Medcentric MWCZ;226.780232;155.58248333333333
Annadal kliniek;Medtronic;89.317058;66.96898333333334
Annadal kliniek;Orthoparc Rozendaal;159.465086;122.64121666666666
Annadal kliniek;Pro-Motion;180.74201;130.32988333333333
Annadal kliniek;Retina eye care;175.22061499999998;137.25675
Annadal kliniek Poli;De Meern;169.65031;135.23065
Annadal kliniek Poli;Andros Clinics Rijswijk;212.907175;156.67374999999998
Annadal kliniek Poli;Annadal kliniek;0.0;0.0
Annadal kliniek Poli;Annatommie Amstelveen;200.365167;153.57716666666664
Annadal kliniek Poli;Annatommie Utrecht;168.257536;132.87335
Annadal kliniek Poli;Arthrex;167.817357;132.48088333333334
Annadal kliniek Poli;Cosmed Bosch en Duin OK;178.029387;138.98846666666668
Annadal kliniek Poli;Cosmed Bosch en Duin Poli;178.029387;138.98846666666668
Annadal kliniek Poli;Denticien;213.767592;157.84393333333335
Annadal kliniek Poli;Dermaclinic Utrecht;171.82781599999998;135.8667
Annadal kliniek Poli;Doctors at soap;171.653908;137.22923333333335
Annadal kliniek Poli;EQA - Velthuis Kliniek Amsterdam;196.538434;150.08016666666666
Annadal kliniek Poli;EQA - Xpert Clinic Hand Amsterdam;196.538434;150.08016666666666
Annadal kliniek Poli;EQA - Xpert Clinic Proctologie Amsterdam;196.538434;150.08016666666666
Annadal kliniek Poli;EQA - Xpert Orthopedie Amsterdam;196.538434;150.08016666666666
Annadal kliniek Poli;EQEI - Velthuis Kliniek Eindhoven;91.600367;67.49663333333334
Annadal kliniek Poli;EQEI - Xpert Clinic Hand Eindhoven;91.600367;67.49663333333334
